datetime,depth,temp,cond,chl,ntu,cdom,o2,o2temp
4b3e8bfa,ffdd,57a6,0000,0034,003f,003d,6a3f,58ae
4b3e8bfe,ffde,57a6,0000,002e,0047,002c,6a36,58b4
4b3e8c02,ffdd,57a7,0000,002f,0041,002c,6a38,58b5
4b3e8c06,ffdd,57a7,0000,002e,0042,0022,6a36,58ba
4b3e8c0a,ffdd,57a7,0000,0033,0042,002d,6a36,58bc
4b3e8c0e,ffdd,57a8,0000,0032,0043,003f,6a2f,58c3
4b3e8c12,ffdd,57a9,0000,002f,0041,003c,6a32,58c6
4b3e8c16,ffdc,57a8,0000,002b,003f,002a,6a2c,58c9
4b3e8c1a,ffdc,57a9,0000,0031,0042,0040,6a2d,58cb
4b3e8c1e,ffdd,57aa,0000,002f,0041,003c,6a2c,58d0
4b3e8c22,ffdc,57aa,0000,002f,0047,002f,6a2c,58d5
4b3e8c26,ffdc,57ab,0000,0034,0042,0022,6a2d,58d7
4b3e8c2a,ffdc,57ab,0000,0033,0046,0035,6a2b,58d8
4b3e8c2e,ffdc,57ab,0000,002f,0040,0040,6a20,58df
4b3e8c32,ffdb,57ac,0000,0032,0047,002e,6a1c,58e2
4b3e8c36,ffdb,57ac,0000,002d,0045,0027,6a27,58e4
4b3e8c3a,ffdb,57ad,0000,0031,0044,0032,6a24,58e7
4b3e8c3e,ffdb,57ad,0000,0030,0048,003e,6a1d,58eb
4b3e8c42,ffdb,57ad,0000,002e,0043,002d,6a22,58ef
4b3e8c46,ffdb,57ae,0000,0033,0041,0022,6a1a,58f3
4b3e8c4a,ffda,57ae,0000,0031,0044,0030,6a1b,58f4
4b3e8c4e,ffda,57af,0000,002f,0044,0040,6a1d,58f8
4b3e8c52,ffdb,57af,0000,002d,0047,002e,6a1e,58fc
4b3e8c56,ffd9,57af,0000,0035,0046,002c,6a14,58ff
4b3e8c5a,ffda,57b0,0000,0033,003b,0033,6a11,5903
4b3e8c5e,ffd9,57b1,0000,0032,0049,0042,6a0f,5907
4b3e8c62,ffda,57b0,0000,0030,0044,002c,6a12,590a
4b3e8c66,ffd9,57b1,0000,0033,0040,0024,6a12,590e
4b3e8c6a,ffd9,57b1,0000,0032,0043,0046,6a0a,5911
